month,pollutant,normalized_concentration,year
August,PM 10,0.5050520833333333,2021
September,PM 10,0.4907955148002517,2021
October,PM 10,0.2976856557672018,2021
November,PM 10,0.1982881944444444,2021
December,PM 10,0.2314344232798154,2021
January,PM 10,0.3060443494791696,2022
February,PM 10,0.4137976856557672,2022
March,PM 10,0.4735391307613768,2022
April,PM 10,0.3697960305888806,2022
May,PM 10,0.3204918451121115,2022
June,PM 10,0.3015486829768565,2022
July,PM 10,0.4503794154425339,2022
August,PM 10,0.5050520833333333,2022
September,PM 10,0.4907955148002517,2022
October,PM 10,0.2976856557672018,2022
November,PM 10,0.1982881944444444,2022
December,PM 10,0.2314344232798154,2022
January,PM 2.5,0.2355527819548872,2019
February,PM 2.5,0.3809523809523809,2019
March,PM 2.5,0.4357612781954887,2019
April,PM 2.5,0.4079887218045112,2019
May,PM 2.5,0.3340225563909774,2019
June,PM 2.5,0.3585526315789473,2019
July,PM 2.5,0.5055451127819549,2019
August,PM 2.5,0.5592105263157895,2019
September,PM 2.5,0.569454887218045,2019
October,PM 2.5,0.300093984962406,2019
November,PM 2.5,0.2282894736842105,2019
December,PM 2.5,0.2118421052631579,2019
January,PM 2.5,0.2355527819548872,2020
February,PM 2.5,0.3809523809523809,2020
March,PM 2.5,0.4357612781954887,2020
April,PM 2.5,0.4079887218045112,2020
May,PM 2.5,0.3340225563909774,2020
June,PM 2.5,0.3585526315789473,2020
July,PM 2.5,0.5055451127819549,2020
August,PM 2.5,0.5592105263157895,2020
September,PM 2.5,0.569454887218045,2020
October,PM 2.5,0.300093984962406,2020
November,PM 2.5,0.2282894736842105,2020
December,PM 2.5,0.2118421052631579,2020
January,PM 2.5,0.2355527819548872,2021
February,PM 2.5,0.3809523809523809,2021
March,PM 2.5,0.4357612781954887,2021
April,PM 2.5,0.4079887218045112,2021
May,PM 2.5,0.3340225563909774,2021
June,PM 2.5,0.3585526315789473,2021
July,PM 2.5,0.5055451127819549,2021
August,PM 2.5,0.5592105263157895,2021
September,PM 2.5,0.569454887218045,2021
October,PM 2.5,0.300093984962406,2021
November,PM 2.5,0.2282894736842105,2021
December,PM 2.5,0.2118421052631579,2021
January,PM 2.5,0.2355527819548872,2022
February,PM 2.5,0.3809523809523809,2022
March,PM 2.5,0.4357612781954887,2022
April,PM 2.5,0.4079887218045112,2022
May,PM 2.5,0.3340225563909774,2022
June,PM 2.5,0.3585526315789473,2022
July,PM 2.5,0.5055451127819549,2022
August,PM 2.5,0.5592105263157895,2022
September,PM 2.5,0.569454887218045,2022
October,PM 2.5,0.300093984962406,2022
November,PM 2.5,0.2282894736842105,2022
December,PM 2.5,0.2118421052631579,2022
January,SO2,0.5555555555555556,2019
February,SO2,0.6388888888888888,2019
March,SO2,0.7222222222222222,2019
April,SO2,0.6666666666666666,2019
May,SO2,0.5277777777777778,2019
June,SO2,0.6111111111111112,2019
July,SO2,0.6296296296296297,2019
August,SO2,0.6296296296296297,2019
September,SO2,0.5833333333333333,2019
October,SO2,0.6111111111111112,2019
November,SO2,0.6388888888888888,2019
December,SO2,0.6944444444444444,2019
January,SO2,0.5555555555555556,2020
February,SO2,0.6388888888888888,2020
March,SO2,0.7222222222222222,2020
April,SO2,0.6666666666666666,2020
May,SO2,0.5277777777777778,2020
June,SO2,0.6111111111111112,2020
July,SO2,0.6296296296296297,2020
August,SO2,0.6296296296296297,2020
September,SO2,0.5833333333333333,2020
October,SO2,0.6111111111111112,2020
November,SO2,0.6388888888888888,2020
December,SO2,0.6944444444444444,2020
January,SO2,0.5555555555555556,2021
February,SO2,0.6388888888888888,2021
March,SO2,0.7222222222222222,2021
April,SO2,0.6666666666666666,2021
May,SO2,0.5277777777777778,2021
June,SO2,0.6111111111111112,2021
July,SO2,0.6296296296296297,2021
August,SO2,0.6296296296296297,2021
September,SO2,0.5833333333333333,2021
October,SO2,0.6111111111111112,2021
November,SO2,0.6388888888888888,2021
December,SO2,0.6944444444444444,2021
January,SO2,0.5555555555555556,2022
February,SO2,0.6388888888888888,2022
March,SO2,0.7222222222222222,2022
April,SO2,0.6666666666666666,2022
May,SO2,0.5277777777777778,2022
June,SO2,0.6111111111111112,2022
July,SO2,0.6296296296296297,2022
August,SO2,0.6296296296296297,2022
September,SO2,0.5833333333333333,2022
October,SO2,0.6111111111111112,2022
November,SO2,0.6388888888888888,2022
December,SO2,0.6944444444444444,2022
